,timestamp,device,seqnumber,event,temperature1,temperature2,bmetemp,bmehum,bmepress,adc1,adc2,adc3,battery,devicetypeid,data,time,__dt,date
777,2022-07-13T12:57:01+01:00,1B29859,3926,1,47,37,43,12,991,1,1,1,27,5eb93b15c563d67b6b9800d7,0193898f0c5b0101011b,1657709821,2022-07-13 00:00:00.000,2022-07-13 12:57:01+01:00
1301,2022-07-13T13:12:25+01:00,1B29859,3927,1,50,38,44,12,991,1,1,1,27,5eb93b15c563d67b6b9800d7,01968a900c5b0101011b,1657710745,2022-07-13 00:00:00.000,2022-07-13 13:12:25+01:00
96,2022-07-13T13:58:36+01:00,1B29859,3930,1,49,36,42,14,991,1,1,1,27,5eb93b15c563d67b6b9800d7,0195888e0e5b0101011b,1657713516,2022-07-13 00:00:00.000,2022-07-13 13:58:36+01:00
11,2022-07-13T14:13:59+01:00,1B29859,3931,1,49,34,40,13,991,1,1,1,27,5eb93b15c563d67b6b9800d7,0195868c0d5b0101011b,1657714439,2022-07-13 00:00:00.000,2022-07-13 14:13:59+01:00
619,2022-07-13T14:29:22+01:00,1B29859,3932,1,50,35,41,11,990,1,1,1,27,5eb93b15c563d67b6b9800d7,0196878d0b5a0101011b,1657715362,2022-07-13 00:00:00.000,2022-07-13 14:29:22+01:00
300,2022-07-13T14:44:45+01:00,1B29859,3933,1,51,34,43,8,990,1,1,1,27,5eb93b15c563d67b6b9800d7,0197868f085a0101011b,1657716285,2022-07-13 00:00:00.000,2022-07-13 14:44:45+01:00
617,2022-07-13T15:00:10+01:00,1B29859,3934,1,53,37,46,7,990,1,1,1,27,5eb93b15c563d67b6b9800d7,01998992075a0101011b,1657717210,2022-07-13 00:00:00.000,2022-07-13 15:00:10+01:00
432,2022-07-13T15:15:35+01:00,1B29859,3935,1,55,38,48,6,990,1,1,1,27,5eb93b15c563d67b6b9800d7,019b8a94065a0101011b,1657718135,2022-07-13 00:00:00.000,2022-07-13 15:15:35+01:00
825,2022-07-13T15:30:58+01:00,1B29859,3936,1,55,34,42,8,990,1,1,1,27,5eb93b15c563d67b6b9800d7,019b868e085a0101011b,1657719058,2022-07-13 00:00:00.000,2022-07-13 15:30:58+01:00
305,2022-07-13T15:46:21+01:00,1B29859,3937,1,56,37,45,7,990,1,1,1,27,5eb93b15c563d67b6b9800d7,019c8991075a0101011b,1657719981,2022-07-13 00:00:00.000,2022-07-13 15:46:21+01:00
