,timestamp,device,seqnumber,event,temperature1,temperature2,bmetemp,bmehum,bmepress,adc1,adc2,adc3,battery,devicetypeid,data,time,__dt,date
768,2022-07-13T13:38:51+01:00,1B29857,3950,3,34,30,31,26,991,16,1,1,24,5eb930dde833d96c2857f411,038682831a5b10010118,1657712331,2022-07-13 00:00:00.000,2022-07-13 13:38:51+01:00
755,2022-07-13T13:54:15+01:00,1B29857,3951,3,35,30,31,24,991,17,1,1,24,5eb930dde833d96c2857f411,03878283185b11010118,1657713255,2022-07-13 00:00:00.000,2022-07-13 13:54:15+01:00
640,2022-07-13T14:09:39+01:00,1B29857,3952,3,37,30,31,22,991,10,1,1,24,5eb930dde833d96c2857f411,03898283165b0a010118,1657714179,2022-07-13 00:00:00.000,2022-07-13 14:09:39+01:00
28,2022-07-13T14:25:03+01:00,1B29857,3953,3,38,33,34,20,991,10,1,1,24,5eb930dde833d96c2857f411,038a8586145b0a010118,1657715103,2022-07-13 00:00:00.000,2022-07-13 14:25:03+01:00
192,2022-07-13T14:40:27+01:00,1B29857,3954,3,40,35,36,15,991,15,1,1,24,5eb930dde833d96c2857f411,038c87880f5b0f010118,1657716027,2022-07-13 00:00:00.000,2022-07-13 14:40:27+01:00
434,2022-07-13T14:55:52+01:00,1B29857,3955,3,44,36,38,13,991,18,1,1,24,5eb930dde833d96c2857f411,0390888a0d5b12010118,1657716952,2022-07-13 00:00:00.000,2022-07-13 14:55:52+01:00
399,2022-07-13T15:11:17+01:00,1B29857,3956,3,48,38,40,11,990,15,1,1,24,5eb930dde833d96c2857f411,03948a8c0b5a0f010118,1657717877,2022-07-13 00:00:00.000,2022-07-13 15:11:17+01:00
539,2022-07-13T15:26:40+01:00,1B29857,3957,3,49,35,37,12,990,19,1,1,24,5eb930dde833d96c2857f411,039587890c5a13010118,1657718800,2022-07-13 00:00:00.000,2022-07-13 15:26:40+01:00
521,2022-07-13T15:42:03+01:00,1B29857,3958,3,49,38,40,11,990,17,1,1,24,5eb930dde833d96c2857f411,03958a8c0b5a11010118,1657719723,2022-07-13 00:00:00.000,2022-07-13 15:42:03+01:00
315,2022-07-13T15:57:28+01:00,1B29857,3959,3,51,38,40,12,990,10,1,1,24,5eb930dde833d96c2857f411,03978a8c0c5a0a010118,1657720648,2022-07-13 00:00:00.000,2022-07-13 15:57:28+01:00
482,2022-07-13T16:12:51+01:00,1B29857,3960,3,51,38,41,12,990,14,1,1,24,5eb930dde833d96c2857f411,03978a8d0c5a0e010118,1657721571,2022-07-13 00:00:00.000,2022-07-13 16:12:51+01:00
628,2022-07-13T16:28:14+01:00,1B29857,3961,3,51,37,40,13,990,18,1,1,24,5eb930dde833d96c2857f411,0397898c0d5a12010118,1657722494,2022-07-13 00:00:00.000,2022-07-13 16:28:14+01:00
343,2022-07-13T16:43:38+01:00,1B29857,3962,3,50,36,40,13,990,4,1,1,24,5eb930dde833d96c2857f411,0396888c0d5a04010118,1657723418,2022-07-13 00:00:00.000,2022-07-13 16:43:38+01:00
105,2022-07-13T16:59:02+01:00,1B29857,3963,3,50,36,39,13,990,18,1,1,24,5eb930dde833d96c2857f411,0396888b0d5a12010118,1657724342,2022-07-13 00:00:00.000,2022-07-13 16:59:02+01:00
687,2022-07-13T17:14:25+01:00,1B29857,3964,3,49,36,38,14,989,19,1,1,24,5eb930dde833d96c2857f411,0395888a0e5913010118,1657725265,2022-07-13 00:00:00.000,2022-07-13 17:14:25+01:00
388,2022-07-13T17:29:48+01:00,1B29857,3965,3,48,36,39,14,989,15,1,1,24,5eb930dde833d96c2857f411,0394888b0e590f010118,1657726188,2022-07-13 00:00:00.000,2022-07-13 17:29:48+01:00
363,2022-07-13T17:45:12+01:00,1B29857,3966,3,47,35,39,14,989,15,1,1,24,5eb930dde833d96c2857f411,0393878b0e590f010118,1657727112,2022-07-13 00:00:00.000,2022-07-13 17:45:12+01:00
